,FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
2213,KW_2020_PG_04,KW_2020_PG_04,KW_2020_PG_20,KW_2020_PG_20,UN,NA,1e-04,0.014,0.9859,0.9929,-1,0.997855,1,NA
2149,KW_2020_PG_03,KW_2020_PG_03,KW_2020_PG_07,KW_2020_PG_07,UN,NA,3e-04,0.0144,0.9853,0.9925,-1,0.997751,1,4394
2666,KW_2020_PG_17,KW_2020_PG_17,KW_2020_PG_23,KW_2020_PG_23,UN,NA,2e-04,0.0148,0.985,0.9924,-1,0.997716,1,NA
87,48336,48336,48336KWEG2012,48336KWEG2012,UN,NA,1e-04,0.0153,0.9846,0.9922,-1,0.997658,1,1261
2039,KW_2020_PG_01,KW_2020_PG_01,KW_2020_PG_12,KW_2020_PG_12,UN,NA,1e-04,0.0156,0.9843,0.9921,-1,0.997611,1,NA
2422,KW_2020_PG_09,KW_2020_PG_09,KW_2020_PG_19,KW_2020_PG_19,UN,NA,1e-04,0.0156,0.9843,0.9921,-1,0.997606,1,NA
582,48339,48339,48339KWEG2012,48339KWEG2012,UN,NA,1e-04,0.0165,0.9834,0.9916,-1,0.997472,1,3779
3076,KW_2020_PI_05,KW_2020_PI_05,KW_2020_PI_06,KW_2020_PI_06,UN,NA,2e-04,0.0171,0.9828,0.9913,-1,0.997382,1,NA
998,ARPI_2013_4001,ARPI_2013_4001,KW_2020_PG_21,KW_2020_PG_21,UN,NA,1e-04,0.0197,0.9802,0.9901,-1,0.997002,1,NA
1464,ARRB_2009_1291,ARRB_2009_1291,ARRB_xx_1291,ARRB_xx_1291,UN,NA,1e-04,0.0198,0.98,0.99,-1,0.99697,1,3642
3512,OO_03_1,OO_03_1,OO_05_1,OO_05_1,UN,NA,2e-04,0.0218,0.9779,0.9888,-1,0.996641,1,2207.5
256,48337,48337,48337KWEG2012,48337KWEG2012,UN,NA,1e-04,0.0239,0.976,0.9879,-1,0.996358,1,1713
421,48338,48338,48338KWEG2012,48338KWEG2012,UN,NA,1e-04,0.0263,0.9736,0.9868,-1,0.996004,1,3741
1350,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_18,KW_2020_PG_18,UN,NA,1e-04,0.0262,0.9736,0.9868,-1,0.996005,1,NA
2318,KW_2020_PG_06,KW_2020_PG_06,KW_2020_PG_18,KW_2020_PG_18,UN,NA,1e-04,0.0299,0.97,0.985,-1,0.995464,1,4462
3483,OO_02,OO_02,OO_17,OO_17,UN,NA,2e-04,0.0347,0.9651,0.9824,-1,0.994702,1,NA
3259,KW_2020_PI_12,KW_2020_PI_12,OO_07,OO_07,UN,NA,2e-04,0.0349,0.9649,0.9823,-1,0.994672,1,4469
1342,ARPI_2013_4006,ARPI_2013_4006,KW_2020_PG_06,KW_2020_PG_06,UN,NA,1e-04,0.0417,0.9582,0.979,-1,0.99367,1,NA
3381,KW_2022_PI_01,KW_2022_PI_01,OO_13,OO_13,UN,NA,6e-04,0.0583,0.9411,0.9703,-1,0.991044,1,4359
3655,OO_10,OO_10,OO_14,OO_14,UN,NA,4e-04,0.0598,0.9398,0.9697,-1,0.990855,1,NA
3714,OO_15,OO_15,OO_16,OO_16,UN,NA,5e-04,0.0655,0.934,0.9667,-1,0.989971,1,2205.5
3202,KW_2020_PI_08,KW_2020_PI_08,OO_11,OO_11,UN,NA,4e-04,0.0741,0.9254,0.9625,-1,0.988687,1,NA
1114,ARPI_2013_4003,ARPI_2013_4003,ARPI_2013_4004,ARPI_2013_4004,UN,NA,8e-04,0.081,0.9182,0.9587,-1,0.98756,1,2187
257,48337,48337,48338,48338,UN,NA,0.0077,0.5256,0.4667,0.7295,-1,0.918637,1,40.3194
339,48337KWEG2012,48337KWEG2012,48338,48338,UN,NA,0.0087,0.5315,0.4598,0.7255,-1,0.917489,1,35.1494
258,48337,48337,48338KWEG2012,48338KWEG2012,UN,NA,0.0081,0.5354,0.4565,0.7242,-1,0.917043,1,30.4242
340,48337KWEG2012,48337KWEG2012,48338KWEG2012,48338KWEG2012,UN,NA,0.0091,0.5405,0.4504,0.7207,-1,0.916042,1,32.8247
426,48338,48338,48342,48342,UN,NA,0.0045,0.6137,0.3819,0.6887,-1,0.90612,1,74.1905
92,48336,48336,48339,48339,UN,NA,0.0063,0.616,0.3777,0.6857,-1,0.905314,1,39.6538
93,48336,48336,48339KWEG2012,48339KWEG2012,UN,NA,0.0057,0.6193,0.375,0.6847,-1,0.904969,1,49.8281
176,48336KWEG2012,48336KWEG2012,48339,48339,UN,NA,0.0053,0.6203,0.3744,0.6846,-1,0.904913,1,48.1515
